method,R2,RMSE_RANGE,MAE_RANGE,QICE
TabICL_6M_DDIM10_repeats100,0.5911 +- 0.0794,0.1343 +- 0.0156,0.0980 +- 0.0133,0.0429 +- 0.0056
TabICL_6M_DDIM50_repeats100,0.5963 +- 0.0791,0.1334 +- 0.0156,0.0977 +- 0.0133,0.0302 +- 0.0042
TabICL_6M_DDIM100_repeats100,0.5961 +- 0.0791,0.1336 +- 0.0156,0.0980 +- 0.0135,0.0298 +- 0.0040
TabICL_6M_DDIM250_repeats100,0.5961 +- 0.0788,0.1337 +- 0.0156,0.0980 +- 0.0134,0.0281 +- 0.0038
TabICL_6M_DDPM500_repeats100,0.5936 +- 0.0805,0.1334 +- 0.0159,0.0978 +- 0.0136,0.0256 +- 0.0036
