experiment,condition,method,dataset,R2,R2_SE,RMSE_RANGE,RMSE_RANGE_SE,MAE_RANGE,MAE_RANGE_SE,QICE,QICE_SE,NMPIW,NMPIW_SE,source_json,uncertainty_json,source_note
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,sensory,0.04250258681,0.04247234497,0.240684683,0.0127447787,0.1910329989,0.01232963602,0.024,0.003633180425,2.938195671,0.2408869687,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,socmob,0.6911006275,0.08415881059,0.09930343222,0.02049361139,0.03966019484,0.011554003,0.068,0.00593295879,0.4266323103,0.08430095753,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,space_ga,0.5163486104,0.01903017156,0.1657173995,0.01092511611,0.1283286158,0.01143006653,0.032,0.003464101615,1.685132275,0.09501185458,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,student_performance,0.05288878775,0.06318499286,0.1946093534,0.01312228274,0.1406765219,0.01318956252,0.025,0.00438178046,2.589305497,0.163340759,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,abalone,0.2982933151,0.0266643552,0.2036547298,0.007182971339,0.1527465812,0.003916829593,0.028,0.002,2.24826497,0.1499465749,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,airfoil_self_noise,0.5944190758,0.05891647717,0.1449623552,0.01149264473,0.1091580307,0.00754391014,0.024,0.003633180425,2.404212027,0.1122094089,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,auction_verification,0.8081867094,0.02933270127,0.1305584954,0.007820052942,0.07702443918,0.003829566341,0.053,0.004816637832,1.055316467,0.04679257392,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,boston,0.8612593203,0.02791032381,0.08523097576,0.01012400535,0.05868638852,0.005416588075,0.026,0.000894427191,1.20454706,0.08989276867,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,cars,0.9097816796,0.01463361336,0.06980909814,0.00326254821,0.04762007128,0.002948503868,0.022,0.003847076812,0.9458880954,0.05438532692,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,concrete_compressive_strength,0.7889229756,0.0300983823,0.1136360651,0.007125807524,0.08349984256,0.005195989118,0.028,0.003577708764,1.820274127,0.1208899013,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
